"RC-PAIN RELIEVERS - PAST YEAR MISUSE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"Overall","Overall","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","272928000","N/A","1691000"
"0 - Did not misuse in the past year","Overall","0.961","0.0007","0.96","0.963","1","0","N/A","N/A","0.961","0.0007","0.96","0.963","262401000","N/A","1645000"
"1 - Misused within the past year","Overall","0.039","0.0007","0.037","0.04","1","0","N/A","N/A","0.039","0.0007","0.037","0.04","10527000","N/A","202000"
"Overall","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","586000","N/A","23000"
"0 - Did not misuse in the past year","AK","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.946","0.0066","0.932","0.958","554000","N/A","23000"
"1 - Misused within the past year","AK","0","0","0","0","0.003","0.0004","0.002","0.004","0.054","0.0066","0.042","0.068","32000","N/A","4000"
"Overall","AL","0.015","0.0006","0.014","0.016","0.015","0.0006","0.014","0.016","1","0","N/A","N/A","4085000","N/A","165000"
"0 - Did not misuse in the past year","AL","0.014","0.0006","0.013","0.015","0.015","0.0006","0.014","0.016","0.948","0.0063","0.934","0.959","3871000","N/A","154000"
"1 - Misused within the past year","AL","0.001","0.0001","0.001","0.001","0.02","0.0027","0.016","0.026","0.052","0.0063","0.041","0.066","214000","N/A","28000"
"Overall","AR","0.009","0.0004","0.008","0.01","0.009","0.0004","0.008","0.01","1","0","N/A","N/A","2489000","N/A","120000"
"0 - Did not misuse in the past year","AR","0.009","0.0004","0.008","0.009","0.009","0.0004","0.008","0.01","0.947","0.0064","0.933","0.958","2357000","N/A","113000"
"1 - Misused within the past year","AR","0","0.0001","0","0.001","0.013","0.0017","0.01","0.016","0.053","0.0064","0.042","0.067","132000","N/A","18000"
"Overall","AZ","0.022","0.0012","0.019","0.024","0.022","0.0012","0.019","0.024","1","0","N/A","N/A","5909000","N/A","331000"
"0 - Did not misuse in the past year","AZ","0.021","0.0012","0.019","0.023","0.022","0.0012","0.019","0.024","0.957","0.0055","0.945","0.967","5657000","N/A","326000"
"1 - Misused within the past year","AZ","0.001","0.0001","0.001","0.001","0.024","0.003","0.019","0.031","0.043","0.0055","0.033","0.055","252000","N/A","32000"
"Overall","CA","0.121","0.0023","0.117","0.126","0.121","0.0023","0.117","0.126","1","0","N/A","N/A","33047000","N/A","698000"
"0 - Did not misuse in the past year","CA","0.116","0.0022","0.112","0.121","0.121","0.0023","0.117","0.126","0.961","0.0029","0.955","0.966","31763000","N/A","662000"
"1 - Misused within the past year","CA","0.005","0.0004","0.004","0.006","0.122","0.009","0.105","0.141","0.039","0.0029","0.034","0.045","1284000","N/A","104000"
"Overall","CO","0.017","0.0012","0.015","0.02","0.017","0.0012","0.015","0.02","1","0","N/A","N/A","4726000","N/A","318000"
"0 - Did not misuse in the past year","CO","0.016","0.0011","0.014","0.019","0.017","0.0011","0.015","0.019","0.945","0.0086","0.925","0.959","4466000","N/A","304000"
"1 - Misused within the past year","CO","0.001","0.0002","0.001","0.001","0.025","0.0041","0.018","0.034","0.055","0.0086","0.041","0.075","261000","N/A","44000"
"Overall","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","1","0","N/A","N/A","3065000","N/A","133000"
"0 - Did not misuse in the past year","CT","0.011","0.0005","0.01","0.012","0.011","0.0005","0.01","0.012","0.962","0.005","0.951","0.971","2949000","N/A","129000"
"1 - Misused within the past year","CT","0","0.0001","0","0.001","0.011","0.0016","0.008","0.015","0.038","0.005","0.029","0.049","117000","N/A","16000"
"Overall","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","593000","N/A","27000"
"0 - Did not misuse in the past year","DC","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","0.958","0.0069","0.942","0.97","568000","N/A","26000"
"1 - Misused within the past year","DC","0","0","0","0","0.002","0.0004","0.002","0.003","0.042","0.0069","0.03","0.058","25000","N/A","4000"
"Overall","DE","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","1","0","N/A","N/A","815000","N/A","37000"
"0 - Did not misuse in the past year","DE","0.003","0.0001","0.003","0.003","0.003","0.0001","0.003","0.003","0.963","0.0046","0.953","0.971","786000","N/A","35000"
"1 - Misused within the past year","DE","0","0","0","0","0.003","0.0004","0.002","0.004","0.037","0.0046","0.029","0.047","30000","N/A","4000"
"Overall","FL","0.066","0.0018","0.063","0.07","0.066","0.0018","0.063","0.07","1","0","N/A","N/A","18049000","N/A","519000"
"0 - Did not misuse in the past year","FL","0.063","0.0017","0.06","0.067","0.066","0.0018","0.062","0.069","0.954","0.0037","0.946","0.961","17216000","N/A","495000"
"1 - Misused within the past year","FL","0.003","0.0003","0.003","0.004","0.079","0.0066","0.067","0.093","0.046","0.0037","0.039","0.054","833000","N/A","73000"
"Overall","GA","0.032","0.001","0.03","0.034","0.032","0.001","0.03","0.034","1","0","N/A","N/A","8633000","N/A","284000"
"0 - Did not misuse in the past year","GA","0.031","0.001","0.029","0.033","0.032","0.001","0.03","0.034","0.965","0.004","0.956","0.972","8330000","N/A","276000"
"1 - Misused within the past year","GA","0.001","0.0001","0.001","0.001","0.029","0.0034","0.023","0.036","0.035","0.004","0.028","0.044","303000","N/A","36000"
"Overall","HI","0.004","0.0002","0.004","0.005","0.004","0.0002","0.004","0.005","1","0","N/A","N/A","1158000","N/A","49000"
